 TIMESTAMP , STEP, N_DOFS, FILES, TIME_TO_SOL, TIME_DDM, TIME_PCM, TIME_MMPM, TIME_APPM, TIME_SIM, CONTROL_POINTS

2017-10-25 12:12:14, , , , , , , , , , 
2017-10-25 12:12:14, ,   1702, , 0.138713, , , , , , 
2017-10-25 12:12:16, , , , , , , , , , 
2017-10-25 12:12:16, ,   1702, , 0.0750859, , , , , , 
